question,answer
"What is internship duration?","The internship duration is 3 months."
"Is the internship paid?","No certification they will provide."
"How can I apply?","You can apply through the official company portal."
"What skills are required?","Basic Python and Machine Learning knowledge is preferred."
"What is the selection process?","Selection is based on resume screening and interview."
"Will I get a certificate?","Yes, you will receive a certificate after completion."
"Is English required?","Basic English communication is required but fluency is not mandatory."
"Can I use regional languages?","English is preferred for official communication."
"What programming languages should I know?","Python is preferred, JavaScript is a plus."
"Do I need experience?","No prior experience is required."
